target,label,model,MAE,MSE,RMSE,R2
yield_ton_ha,Produtividade estimada (ton/ha),Regressão Linear,0.663,0.8211,0.9061,0.1378
yield_ton_ha,Produtividade estimada (ton/ha),Random Forest,0.2155,0.0771,0.2777,0.919
irrigation_volume_l_m2,Volume de irrigação (L/m²),Regressão Linear,0.7906,0.9704,0.9851,0.862
irrigation_volume_l_m2,Volume de irrigação (L/m²),Random Forest,0.306,0.1507,0.3882,0.9786
fertilizer_kg_ha,Fertilizante recomendado (kg/ha),Regressão Linear,10.8332,168.7532,12.9905,0.8133
fertilizer_kg_ha,Fertilizante recomendado (kg/ha),Random Forest,4.1449,27.0676,5.2027,0.9701
